1,2,3,4,5
0.35,262.5,58.4,37,21.607999999999997
0.35,262.5,50.5,37,18.685
0.35,262.5,43.7,37,16.169
0.35,262.5,44.1,37,16.317
0.35,262.5,46.2,37,17.094
0.35,262.5,42.1,37,15.577
0.35,262.5,37.6,37,13.912
0.35,262.5,38.6,37,14.282
0.35,262.5,41.2,37,15.244000000000002
0.35,262.5,42.0,37,15.540000000000001
0.35,262.5,50.2,37,18.574
0.35,262.5,42.9,37,15.873
0.36,270.0,44.0,35,15.4
0.35,262.5,49.2,37,18.204
0.36,270.0,62.3,35,21.805
0.35,262.5,60.9,37,22.532999999999998
0.35,262.5,69.1,37,25.567
0.35,262.5,61.8,37,22.866
0.35,262.5,67.2,37,24.864
0.35,262.5,63.3,37,23.421
0.35,262.5,63.4,37,23.458
0.35,262.5,61.2,37,22.644000000000002
0.35,262.5,67.8,37,25.086
0.35,262.5,64.3,37,23.791
0.35,262.5,61.4,37,22.717999999999996
0.35,262.5,59.2,37,21.904
0.35,262.5,58.2,37,21.534000000000002
0.35,262.5,49.8,37,18.426
0.34,255.00000000000003,47.9,35,16.765
0.35,262.5,48.4,37,17.908
0.36,270.0,51.2,35,17.92
0.36,270.0,44.3,35,15.505
0.35,262.5,46.2,37,17.094
0.35,262.5,52.9,37,19.573
0.35,262.5,50.8,37,18.796
0.35,262.5,52.4,37,19.388
0.35,262.5,46.7,37,17.279
0.35,262.5,44.0,37,16.28
0.35,262.5,47.2,37,17.464000000000002
0.35,262.5,57.4,37,21.237999999999996
0.36,270.0,57.2,35,20.02
0.35,262.5,57.1,37,21.127000000000002
0.35,262.5,57.2,37,21.164
0.35,262.5,67.1,37,24.826999999999998
0.35,262.5,60.5,37,22.385
0.35,262.5,59.8,37,22.126
0.35,262.5,62.0,37,22.94
0.35,262.5,58.6,37,21.682000000000002
0.35,262.5,53.8,37,19.906
0.35,262.5,41.2,37,15.244000000000002
0.35,262.5,36.4,37,13.468
0.35,262.5,37.4,37,13.838
0.35,262.5,40.3,37,14.911
0.35,262.5,39.6,37,14.652000000000001
0.35,262.5,41.8,37,15.466
0.34,255.00000000000003,38.4,35,13.44
0.34,255.00000000000003,44.1,35,15.435
0.35,262.5,41.3,37,15.280999999999999
0.35,262.5,39.2,37,14.504000000000001
0.35,262.5,41.6,37,15.392000000000001
0.35,262.5,45.7,37,16.909000000000002
0.35,262.5,38.9,37,14.393
0.37,277.5,43.8,34,14.891999999999998
0.36,270.0,47.6,35,16.66
0.35,262.5,42.4,37,15.688
0.35,262.5,48.8,37,18.056
0.36,270.0,46.8,35,16.38
0.35,262.5,45.1,37,16.687
0.35,262.5,47.1,37,17.427
0.35,262.5,46.8,37,17.316
0.35,262.5,45.4,37,16.798
0.35,262.5,47.1,37,17.427
0.35,262.5,48.2,37,17.834
0.35,262.5,36.5,37,13.505
0.35,262.5,37.1,37,13.727
0.35,262.5,39.8,37,14.725999999999999
0.35,262.5,40.1,37,14.837000000000002
0.34,255.00000000000003,38.7,35,13.545
0.35,262.5,37.7,37,13.949000000000002
0.35,262.5,27.4,20,5.48
0.35,262.5,27.1,20,5.42
0.35,262.5,26.8,20,5.36
0.35,262.5,29.9,20,5.98
0.35,262.5,32.6,20,6.5200000000000005
0.35,262.5,31.5,20,6.3
0.35,262.5,32.2,20,6.44
0.35,262.5,36.4,20,7.28
0.35,262.5,37.8,20,7.5600000000000005
0.34,255.00000000000003,43.7,19,8.303
0.35,262.5,41.1,20,8.22
0.35,262.5,38.9,20,7.78
0.35,262.5,41.6,20,8.32
0.34,255.00000000000003,44.0,19,8.36
0.35,262.5,41.9,20,8.38
0.35,262.5,42.7,20,8.540000000000001
0.35,262.5,41.2,20,8.24
0.35,262.5,41.4,20,8.28
0.36,270.0,38.5,18,6.93
0.35,262.5,38.9,20,7.78
0.35,262.5,37.3,20,7.46
0.35,262.5,37.1,20,7.42
0.35,262.5,37.6,20,7.5200000000000005
0.35,262.5,35.8,20,7.16
