Концентрация CH4,"Расход смеси, м3/мин","Расход CH4, м3/мин"
47.1,20,9.42
47.8,20,9.56
49.7,20,9.94
46.5,20,9.3
46.1,20,9.22
42.8,20,8.56
41.6,20,8.32
40.4,20,8.08
32.8,20,6.5600000000000005
31.0,20,6.2
36.6,20,7.32
42.5,20,8.5
40.0,20,8.0
46.2,20,9.24
45.0,20,9.0
51.7,20,10.34
48.1,20,9.620000000000001
50.8,20,10.16
51.3,20,10.26
47.9,20,9.58
47.6,20,9.52
52.9,20,10.58
49.8,20,9.96
43.5,20,8.700000000000001
42.3,20,8.46
46.1,20,9.22
45.9,20,9.18
46.6,20,9.32
46.4,20,9.28
44.7,20,8.94
47.6,20,9.52
44.9,20,8.98
46.8,20,9.36
44.6,20,8.92
47.1,20,9.42
47.4,20,9.48
52.7,20,10.540000000000001
52.8,18,9.504
51.0,20,10.200000000000001
48.6,20,9.72
30.8,20,6.16
35.7,20,7.140000000000001
39.5,20,7.9
38.7,20,7.74
37.6,20,7.5200000000000005
35.2,20,7.04
42.1,20,8.42
52.9,20,10.58
50.6,20,10.120000000000001
48.5,20,9.700000000000001
57.8,20,11.56
53.1,20,10.620000000000001
59.8,20,11.96
51.3,20,10.26
50.7,20,10.14
58.6,20,11.72
52.1,20,10.42
49.3,20,9.86
46.1,20,9.22
44.7,20,8.94
42.0,20,8.4
56.8,20,11.36
56.4,20,11.28
66.8,20,13.36
68.9,20,13.780000000000001
57.6,20,11.52
53.8,20,10.76
50.4,20,10.08
49.8,20,9.96
62.7,20,12.540000000000001
56.6,20,11.32
57.6,20,11.52
49.3,20,9.86
48.7,20,9.74
38.9,20,7.78
51.6,20,10.32
41.9,20,8.38
40.5,20,8.1
39.8,20,7.96
38.9,20,7.78
60.0,20,12.0
50.0,20,10.0
41.9,20,8.38
39.1,20,7.82
41.1,20,8.22
49.7,20,9.94
51.6,20,10.32
53.2,20,10.64
46.0,20,9.200000000000001
45.3,20,9.06
46.1,20,9.22
48.5,20,9.700000000000001
52.6,20,10.52
47.7,20,9.540000000000001
43.4,20,8.68
42.8,20,8.56
41.9,20,8.38
42.7,20,8.540000000000001
41.9,20,8.38
43.3,20,8.66
44.6,20,8.92
45.1,20,9.02
48.3,20,9.66
44.2,20,8.84
45.1,20,9.02
39.6,20,7.92
47.1,20,9.42
41.8,20,8.36
42.5,20,8.5
46.6,18,8.388000000000002
42.1,20,8.42
37.9,20,7.58
44.5,20,8.9
41.1,20,8.22
39.8,20,7.96
41.1,20,8.22
38.6,20,7.72
42.7,20,8.540000000000001
39.0,20,7.8
39.9,20,7.98
42.3,20,8.46
37.1,20,7.42
35.2,20,7.04
35.5,20,7.1000000000000005
40.0,20,8.0
42.5,20,8.5
37.1,20,7.42
39.8,20,7.96
45.6,20,9.120000000000001
40.4,20,8.08
35.9,20,7.18
34.2,20,6.84
37.3,20,7.46
44.2,20,8.84
39.4,20,7.88
44.8,20,8.96
40.3,20,8.06
44.1,20,8.82
46.4,20,9.28
43.5,20,8.700000000000001
39.3,20,7.86
43.9,20,8.78
48.1,20,9.620000000000001
48.8,20,9.76
48.2,20,9.64
50.1,20,10.02
42.1,20,8.42
39.9,20,7.98
37.8,20,7.5600000000000005
41.1,20,8.22
39.7,20,7.94
38.7,20,7.74
39.4,20,7.88
42.0,20,8.4
37.5,20,7.5
42.8,20,8.56
40.1,20,8.02
44.4,20,8.88
64.5,20,12.9
64.9,20,12.98
48.8,20,9.76
42.7,20,8.540000000000001
41.6,20,8.32
